_id,ลำดับ,รายละเอียด,สำนักงานเขต,สน.พื้นที่,พิกัด,พื้นที่ความรับผิดชอบ
72,72,แยกห้วยขวาง (ถ.รัชดาภิเษก - ถ.ประชาราษฎร์บำเพ็ญ),ห้วยขวาง,"ห้วยขวาง,สุทธิสาร","13.778432, 100.573503",กรุงเทพมหานคร
73,73,แยกจอมทอง ถนนจอมทองตัดถนนวุฒากาศ,จอมทอง,บางขุนเทียน,"13.699079, 100.467266",กรุงเทพมหานคร
74,74,พระราม 3 ซอย 64 - ใกล้โรงเรียนนนทรีวิทยา,ยานนาวา,ทุ่งมหาเมฆ,"13.700891, 100.545696",กรุงเทพมหานคร
75,75,ถนนเอกชัยตัดถนนกาญจนาภิเษก ถึงซอยเอกชัย 88,บางบอน,บางขุนเทียน,"13.663212, 100.406070",กรมทางหลวงชนบท
76,76,แยกถนนนวมินทร์-รามอินทรา ตัดถนนนวมินทร์,บึงกุ่ม,โคกคราม,"13.819220, 100.654220",กรุงเทพมหานคร
77,77,ถนนประชาอุทิศ บริเวณประชาอุทิศ ซอย 79,ทุ่งครุ,ทุ่งครุ,"13.634158, 100.502804",กรุงเทพมหานคร
78,78,ซอยท่านหญิงพวงรัตน์ประไพ (สุขุมวิท 26),คลองเตย,ทองหล่อ,"13.724966,100.571317",กรุงเทพมหานคร
79,79,ถนนกำนันแม้น (กำนันแม้น ซอย 2 - กำนันแม้น ซอย 24),จอมทอง,บางขุนเทียน,"13.687364, 100.443814",กรุงเทพมหานคร
80,80,ถนนบางบอน 3 (บางบอน 3 ซอย 3 - บางบอน 3 ซอย 5),บางบอน,บางบอน,"13.667747, 100.384962",กรุงเทพมหานคร
81,81,ถนนสะแกงาม ตัดถนนพระรามที่2,บางขุนเทียน,"ท่าข้าม,แสมดำ","13.644037, 100.413331",กรมทางหลวง
82,82,ถนนสาธุประดิษฐ์ 57,ยานนาวา,บางโพงพาง,"13.680531, 100.530399",กรุงเทพมหานคร
83,83,แยกถนนเพชรเกษม ตัดถนนเพชรเกษม 69,หนองแขม,เพชรเกษม,"13.707870, 100.373832",กรุงเทพมหานคร
84,84,แยกหลักสี่ (ถ.วิภาวดีรังสิต - ถ.แจ้งวัฒนะ),หลักสี่,ทุ่งสองห้อง,"13.884323, 100.581543",กรมทางหลวง
85,85,แยกเกษตร (ถ.วิภาวดีรังสิต - ถ.งามวงศ์วาน),จตุจักร,ทุ่งสองห้อง,"13.847738, 100.561083",กรมทางหลวง
86,86,ถนนคู้บอน ปากซอยคู้บอน 28,คันนายาว,คันนายาว,"13.852299,100.670257",กรุงเทพมหานคร
87,87,แยกพระโขนง (ถนนสุขุมวิท ตัดถนนพระรามที่ 4),คลองเตย,คลองตัน,"13.714271, 100.592606",กรุงเทพมหานคร
88,88,ถนนสรงประภา ตัดสรงประภาซอย5,ดอนเมือง,ดอนเมือง,"13.925429, 100.592307",กรุงเทพมหานคร
89,89,ถนนเพชรเกษมตัดถนนมาเจริญ (ซอยเพชรเกษม81),หนองแขม,หนองแขม,"13.705433, 100.343261",กรุงเทพมหานคร
90,90,แยกบางพลัด และอุโมงค์บางพลัด,บางพลัด,"บางพลัด,บวรมงคล","13.784485, 100.494357",กรุงเทพมหานคร
91,91,ถนนกาญจนาภิเษก บริเวณแม็คโครบางบอน,บางบอน,"บางขุนเทียน,บางบอน","13.670765, 100.406243",กรมทางหลวง
92,92,ถนนประชาอุทิศ ตัดถนนครุใน,ทุ่งครุ,ทุ่งครุ,"13.622456, 100.510329",กรุงเทพมหานคร
93,93,ถนนสมเด็จพระเจ้าตากสิน (ตั้งแต่สมเด็จพระเจ้าตากสิน 40 - 44),ธนบุรี,บุคคโล,"13.700287,100.484042",กรุงเทพมหานคร
94,94,ถนนเอกชัย บริเวณเอกชัย 10 ถึงเอกชัย 16,จอมทอง,บางขุนเทียน,"13.698626, 100.460023",กรุงเทพมหานคร
95,95,ถนนสมเด็จพระเจ้าตากสิน (ตั้งแต่สมเด็จพระเจ้าตากสิน 11- 21),ธนบุรี,สำเหร่,"13.714725,100.489195",กรุงเทพมหานคร
96,96,ถนนพรานนก ตัดถนนอิสรภาพ,บางกอกน้อย,บางกอกน้อย,"13.7555638, 100.477975",กรุงเทพมหานคร
