﻿ID,sub_div,code_dist,District,Road,location,C_Type,lat,long,Cross_Marking,OSB,Rumble_Strip,S_Warning,S_Recom,Num_lane,Light,Push_Light,Remark,x,y
24,กค2,22,ปทุมวัน,พระรามที่ 6,พระรามที่ 6 ซอย 7,Thermo,13.7470059,100.520579,ปกติ,ไม่มี,ไม่มี,ไม่มี,ไม่มี,4,ไม่มี,ไม่มี,,664403.792,1520265.211
25,กค2,22,ปทุมวัน,พระรามที่ 6,โรงเรียนวัดบรมนิวาส,Cole,13.7506859,100.5216573,ปกติ,ไม่มี,ไม่มี,มี,มี,4,มี,ไม่มี,ป้ายเตือนกระพิบ 1 ,664517.831,1520673.056
26,กค2,22,ปทุมวัน,ถนนพญาไท,แยกซอยจุฬา 12,Cole,13.7426701,100.5302479,ปกติ,ไม่มี,ไม่มี,ไม่มี,ไม่มี,8,ไม่มี,ไม่มี,1แห่ง,665452.451,1519792.167
27,กค2,22,ปทุมวัน,ถนนราชดำริ,หน้าตึก สก. (รพ. จุฬาฯ),Cole,13.7314947,100.537333,ปกติ,มี,ไม่มี,มี,ไม่มี,6,ไม่มี,ไม่มี,,666226.545,1518560.726
28,กค2,22,ปทุมวัน,ถนนราชดำริ,คณะแพทย์ศาสตร์ จุฬาฯ,Cole,13.7334118,100.5381117,ปกติ,มี,ไม่มี,มี,ไม่มี,6,มี,ü,,666309.409,1518773.348
29,กค2,22,ปทุมวัน,ถนนราชดำริ,แยกราชดำริ,Thermo,13.734307,100.5384587,ปกติ,ไม่มี,ไม่มี,ไม่มี,ไม่มี,6,ไม่มี,ไม่มี,1แห่ง,666346.305,1518872.622
30,กค2,22,ปทุมวัน,ถนนราชดำริ,หน้าโรงแรมวอลดอร์ฟ แอสโทเรีย กรุงเทพ,Thermo,13.7425512,100.54,ปกติ,มี,ไม่มี,ไม่มี,ไม่มี,6,มี,ไม่มี,,666507.171,1519785.728
31,กค2,22,ปทุมวัน,ถนนอังรีดูนังต์,ศูนย์บริการโลหิตแห่งชาติ สภากาชาดไทย,Cole,13.7331864,100.533927,ปกติ,ไม่มี,ไม่มี,มี,ไม่มี,8,มี,ไม่มี,,665856.997,1518745.531
32,กค2,22,ปทุมวัน,ถนนอังรีดูนังต์,หอพักพยาบาลสถิติ รพ. จุฬาฯ,Thermo,13.7355701,100.5342451,ปกติ,ไม่มี,ไม่มี,มี,ไม่มี,8,มี,ไม่มี,,665889.723,1519009.454
33,กค2,22,ปทุมวัน,ถนนอังรีดูนังต์,สมาคมราชกรีฑาสโมสร,Thermo,13.738075,100.5346098,ปกติ,ไม่มี,ไม่มี,มี,ไม่มี,8,ไม่มี,ไม่มี,,665927.401,1519286.817
34,กค2,22,ปทุมวัน,ถนนอังรีดูนังต์,สมาคมนักเรียนเก่าเตรียมอุดมศึกษา,Thermo,13.7418628,100.5352364,ปรับปรุง,ไม่มี,ไม่มี,มี,ไม่มี,8,มี,ไม่มี,,665992.498,1519706.286
35,กค2,22,ปทุมวัน,ถนนอังรีดูนังต์,หน้าโรงพยาบาลตำรวจ,Thermo,13.7433899,100.5354592,ปกติ,ไม่มี,ไม่มี,ไม่มี,ไม่มี,8,มี,ไม่มี,,666015.517,1519875.38
36,กค2,22,ปทุมวัน,ถนนวิทยุ,สวนลุมพินี,Thermo,13.7281508,100.5448193,ปกติ,ไม่มี,ไม่มี,ไม่มี,ไม่มี,8,มี,ไม่มี,,667038.555,1518195.966
37,กค2,22,ปทุมวัน,ถนนวิทยุ,สวนลุมพินี,Thermo,13.729558,100.5450549,ปรับปรุง,ไม่มี,ไม่มี,ไม่มี,ไม่มี,8,ไม่มี,ไม่มี,,667063.039,1518351.805
38,กค2,22,ปทุมวัน,ถนนวิทยุ,ซอยพระเจน,Thermo,13.7305717,100.5452283,ปกติ,ไม่มี,ไม่มี,ไม่มี,มี,8,มี,ไม่มี,,667081.075,1518464.07
39,กค2,22,ปทุมวัน,ถนนวิทยุ,ซอยร่วมฤดี,Thermo,13.7347708,100.5460218,ปกติ,ไม่มี,ไม่มี,ไม่มี,ไม่มี,8,ไม่มี,ไม่มี,,667163.916,1518929.16
